episode,reward,epsilon,avg_loss,steps,rolling_avg
1,28.0,0.995,0.0,28,28.0
2,10.0,0.990025,0.0,10,19.0
3,20.0,0.985074875,0.0,20,19.333333333333332
4,10.0,0.9801495006250001,0.9049039483070374,10,17.0
5,27.0,0.9752487531218751,0.34511915290797196,27,19.0
6,34.0,0.9703725093562657,0.05707202065626488,34,21.5
7,18.0,0.9655206468094844,0.007782007955635588,18,21.0
8,14.0,0.960693043575437,0.0022516670578625053,14,20.125
9,16.0,0.9558895783575597,0.0010121808045369107,16,19.666666666666668
10,29.0,0.9511101304657719,0.0007194086481768895,29,20.6
11,15.0,0.946354579813443,0.0005010084481909871,15,20.09090909090909
12,21.0,0.9416228069143757,0.00046939715615562384,21,20.166666666666668
13,17.0,0.9369146928798039,0.00045327946067760317,17,19.923076923076923
14,24.0,0.9322301194154049,0.0004535718362603802,24,20.214285714285715
15,11.0,0.9275689688183278,0.0004862984166141938,11,19.6
16,23.0,0.9229311239742362,0.0006209459072282618,23,19.8125
17,8.0,0.918316468354365,0.0008779943018453196,8,19.11764705882353
18,10.0,0.9137248860125932,0.0007402572926366701,10,18.61111111111111
19,11.0,0.9091562615825302,0.0006368214328011328,11,18.210526315789473
20,15.0,0.9046104802746175,0.0004627489804988727,15,18.05
21,12.0,0.9000874278732445,0.0006985120811198916,12,17.761904761904763
22,22.0,0.8955869907338783,0.0007273621343880553,22,17.954545454545453
23,9.0,0.8911090557802088,0.0006291612129037579,9,17.565217391304348
24,9.0,0.8866535105013078,0.000798340223910701,9,17.208333333333332
25,11.0,0.8822202429488013,0.0006808858333070847,11,16.96
26,19.0,0.8778091417340573,0.0006616964819841087,19,17.03846153846154
27,11.0,0.8734200960253871,0.0006795790792569857,11,16.814814814814813
28,16.0,0.8690529955452602,0.0007575741874461528,16,16.785714285714285
29,21.0,0.8647077305675338,0.0005603063403950294,21,16.93103448275862
30,40.0,0.8603841919146962,0.0005615645750367548,40,17.7
31,13.0,0.8560822709551227,0.0004480556952050672,13,17.548387096774192
32,16.0,0.851801859600347,0.0005882473833480617,16,17.5
33,10.0,0.8475428503023453,0.0004001763489213772,10,17.272727272727273
34,11.0,0.8433051360508336,0.0004406096757685935,11,17.08823529411765
35,14.0,0.8390886103705794,0.0004868964190661375,14,17.0
36,11.0,0.8348931673187264,0.0005121155501745471,11,16.833333333333332
37,10.0,0.8307187014821328,0.0006052129261661321,10,16.64864864864865
38,23.0,0.8265651079747222,0.0005187789059203604,23,16.81578947368421
39,21.0,0.8224322824348486,0.0005080241906051967,21,16.923076923076923
40,17.0,0.8183201210226743,0.0005223096908166018,17,16.925
41,12.0,0.8142285204175609,0.0004422717271760727,12,16.804878048780488
42,14.0,0.810157377815473,0.000532731251691335,14,16.738095238095237
43,25.0,0.8061065909263957,0.0005542664474342019,25,16.930232558139537
44,14.0,0.8020760579717637,0.0004400001125759445,14,16.863636363636363
45,9.0,0.798065677681905,0.00043968056302724615,9,16.68888888888889
46,10.0,0.7940753492934954,0.0004353743905085139,10,16.543478260869566
47,17.0,0.7901049725470279,0.0004966860938378993,17,16.5531914893617
48,10.0,0.7861544476842928,0.0005039143958128989,10,16.416666666666668
49,14.0,0.7822236754458713,0.00047076261086788563,14,16.367346938775512
50,10.0,0.778312557068642,0.0005539369420148432,10,16.24
51,16.0,0.7744209942832988,0.0004823204617423471,16,16.235294117647058
52,21.0,0.7705488893118823,0.0004631143660628281,21,16.326923076923077
53,15.0,0.7666961448653229,0.0005099807245035966,15,16.30188679245283
54,29.0,0.7628626641409962,0.00048227660490424726,29,16.537037037037038
55,14.0,0.7590483508202912,0.0004304104690423368,14,16.490909090909092
56,16.0,0.7552531090661897,0.0005162983734408044,16,16.482142857142858
57,29.0,0.7514768435208588,0.0004649881337737215,29,16.70175438596491
58,20.0,0.7477194593032545,0.0004901649634120985,20,16.75862068965517
59,21.0,0.7439808620067382,0.000477480534408685,21,16.83050847457627
60,14.0,0.7402609576967045,0.000555684047867544,14,16.783333333333335
61,14.0,0.736559652908221,0.000505786732121903,14,16.737704918032787
62,9.0,0.7328768546436799,0.00043906779966265376,9,16.612903225806452
63,10.0,0.7292124703704616,0.0005411423990153708,10,16.50793650793651
64,16.0,0.7255664080186093,0.00042558299719530623,16,16.5
65,11.0,0.7219385759785162,0.0003758362912445922,11,16.415384615384614
66,15.0,0.7183288830986236,0.0003424746362725273,15,16.393939393939394
67,11.0,0.7147372386831305,0.0003276387578807771,11,16.313432835820894
68,10.0,0.7111635524897149,0.000328233657637611,10,16.220588235294116
69,25.0,0.7076077347272662,0.0004127105255611241,25,16.347826086956523
70,16.0,0.7040696960536299,0.0004462719143702998,16,16.34285714285714
71,15.0,0.7005493475733617,0.00034901205508504064,15,16.323943661971832
72,30.0,0.697046600835495,0.0003538801858667284,30,16.51388888888889
73,16.0,0.6935613678313175,0.00044386192166712135,16,16.506849315068493
74,16.0,0.6900935609921609,0.0003623854545367067,16,16.5
75,10.0,0.6866430931872001,0.00026800851046573373,10,16.413333333333334
76,10.0,0.6832098777212641,0.00035388527903705834,10,16.32894736842105
77,10.0,0.6797938283326578,0.00026258559082634745,10,16.246753246753247
78,10.0,0.6763948591909945,0.000368142309889663,10,16.166666666666668
79,12.0,0.6730128848950395,0.00038795984801254235,12,16.11392405063291
80,13.0,0.6696478204705644,0.00040652911411598325,13,16.075
81,17.0,0.6662995813682115,0.0003327704873620806,17,16.08641975308642
82,9.0,0.6629680834613705,0.00032049581123929884,9,16.0
83,13.0,0.6596532430440636,0.0004988436009555769,13,15.963855421686747
84,16.0,0.6563549768288433,0.0003669388152047759,16,15.964285714285714
85,15.0,0.653073201944699,0.00032225758962643644,15,15.952941176470588
86,23.0,0.6498078359349755,0.0003044499159011099,23,16.03488372093023
87,9.0,0.6465587967553006,0.0003480623288649238,9,15.954022988505747
88,14.0,0.6433260027715241,0.0002850560600303912,14,15.931818181818182
89,14.0,0.6401093727576664,0.00023581888672197238,14,15.910112359550562
90,18.0,0.6369088258938781,0.0002727497800757798,18,15.933333333333334
91,8.0,0.6337242817644086,0.0003747758846657234,8,15.846153846153847
92,13.0,0.6305556603555866,0.00023189488442417665,13,15.815217391304348
93,11.0,0.6274028820538087,0.0004074647043704648,11,15.763440860215054
94,16.0,0.6242658676435396,0.00047478768465225585,16,15.76595744680851
95,12.0,0.6211445383053219,0.00035698467218026053,12,15.726315789473684
96,17.0,0.6180388156137953,0.0003192331676152261,17,15.739583333333334
97,11.0,0.6149486215357263,0.0003013061346295713,11,15.690721649484535
98,9.0,0.6118738784280476,0.00035770719275913306,9,15.622448979591837
99,17.0,0.6088145090359074,0.00027716414607472387,17,15.636363636363637
100,12.0,0.6057704364907278,0.0002475376895745285,12,15.6
101,10.0,0.6027415843082742,0.0004593862366164103,10,15.42
102,12.0,0.5997278763867329,0.0004522217071401731,12,15.44
103,14.0,0.5967292370047992,0.00033507405065133104,14,15.38
104,13.0,0.5937455908197752,0.00026119551666152594,13,15.41
105,9.0,0.5907768628656763,0.00034363863233011216,9,15.23
106,11.0,0.5878229785513479,0.00026681178133003414,11,15.0
107,18.0,0.5848838636585911,0.00027221223030614457,18,15.0
108,12.0,0.5819594443402982,0.00024217270462637922,12,14.98
109,13.0,0.5790496471185967,0.0002987654857301655,13,14.95
110,11.0,0.5761543988830038,0.00027495803475506943,11,14.77
111,8.0,0.5732736268885887,0.0002767035557553754,8,14.7
112,10.0,0.5704072587541458,0.0002487936115358025,10,14.59
113,9.0,0.567555222460375,0.00028110630713248,9,14.51
114,10.0,0.5647174463480732,0.000262684743211139,10,14.37
115,11.0,0.5618938591163328,0.00027429281048667195,11,14.37
116,27.0,0.5590843898207511,0.0002138821838781479,27,14.41
117,11.0,0.5562889678716474,0.0002548671936065975,11,14.44
118,10.0,0.5535075230322891,0.000279291246260982,10,14.44
119,12.0,0.5507399854171277,0.00024383091598186488,12,14.45
120,16.0,0.547986285490042,0.00026931762613457977,16,14.46
121,12.0,0.5452463540625918,0.00023673000093064425,12,14.46
122,9.0,0.5425201222922789,0.000257855816420892,9,14.33
123,11.0,0.5398075216808175,0.00027952936679040164,11,14.35
124,11.0,0.5371084840724134,0.00026013004455969417,11,14.37
125,15.0,0.5344229416520513,0.0003088285802126241,15,14.41
126,13.0,0.531750826943791,0.00034192345964793977,13,14.35
127,11.0,0.5290920728090721,0.00023846005867447027,11,14.35
128,16.0,0.5264466124450268,0.00023915335350466194,16,14.35
129,8.0,0.5238143793828016,0.00016303680013152189,8,14.22
130,9.0,0.5211953074858876,0.00021390576229249645,9,13.91
131,10.0,0.5185893309484582,0.0002409500302746892,10,13.88
132,12.0,0.5159963842937159,0.00029128901102618937,12,13.84
133,10.0,0.5134164023722473,0.0002250785350042861,10,13.84
134,13.0,0.510849320360386,0.00022941265902213322,13,13.86
135,10.0,0.5082950737585841,0.0003261333142290823,10,13.82
136,11.0,0.5057535983897912,0.0002741174724757333,11,13.82
137,13.0,0.5032248303978422,0.00022519952919817745,13,13.85
138,11.0,0.500708706245853,0.00022750766286414793,11,13.73
139,8.0,0.4982051627146237,0.0002194959920416295,8,13.6
140,10.0,0.49571413690105054,0.00020590547792380675,10,13.53
141,8.0,0.4932355662165453,0.0002572800840425771,8,13.49
142,8.0,0.4907693883854626,0.00024974389270937536,8,13.43
143,13.0,0.4883155414435353,0.0003099207158531779,13,13.31
144,15.0,0.4858739637363176,0.2994274726593479,15,13.32
145,10.0,0.483444593917636,0.08363374620676041,10,13.33
146,41.0,0.4810273709480478,0.047979998334151945,41,13.64
147,15.0,0.47862223409330756,0.043454023202260335,15,13.62
148,10.0,0.47622912292284103,0.03462016731500626,10,13.62
149,10.0,0.4738479773082268,0.043615810386836526,10,13.58
150,10.0,0.47147873742168567,0.03737245872616768,10,13.58
151,8.0,0.46912134373457726,0.03818079852499068,8,13.5
152,14.0,0.46677573701590436,0.03421737952157855,14,13.43
153,14.0,0.46444185833082485,0.033863803571356196,14,13.42
154,11.0,0.46211964903917074,0.032534109597856346,11,13.24
155,31.0,0.4598090507939749,0.027265830716538812,31,13.41
156,11.0,0.457510005540005,0.02575451321899891,11,13.36
157,25.0,0.45522245551230495,0.028048099353909492,25,13.32
158,20.0,0.4529463432347434,0.026633891696110367,20,13.32
159,9.0,0.4506816115185697,0.024281163182523515,9,13.2
